Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides std00	Peptides std01	Peptides std02	Peptides std03	Peptides std04	Peptides std05	Peptides std06	Peptides std07	Peptides std08	Peptides std09	Peptides std10	Peptides std11	Razor + unique peptides std00	Razor + unique peptides std01	Razor + unique peptides std02	Razor + unique peptides std03	Razor + unique peptides std04	Razor + unique peptides std05	Razor + unique peptides std06	Razor + unique peptides std07	Razor + unique peptides std08	Razor + unique peptides std09	Razor + unique peptides std10	Razor + unique peptides std11	Unique peptides std00	Unique peptides std01	Unique peptides std02	Unique peptides std03	Unique peptides std04	Unique peptides std05	Unique peptides std06	Unique peptides std07	Unique peptides std08	Unique peptides std09	Unique peptides std10	Unique peptides std11	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage std00 [%]	Sequence coverage std01 [%]	Sequence coverage std02 [%]	Sequence coverage std03 [%]	Sequence coverage std04 [%]	Sequence coverage std05 [%]	Sequence coverage std06 [%]	Sequence coverage std07 [%]	Sequence coverage std08 [%]	Sequence coverage std09 [%]	Sequence coverage std10 [%]	Sequence coverage std11 [%]	Intensity	Intensity std00	Intensity std01	Intensity std02	Intensity std03	Intensity std04	Intensity std05	Intensity std06	Intensity std07	Intensity std08	Intensity std09	Intensity std10	Intensity std11	iBAQ	iBAQ std00	iBAQ std01	iBAQ std02	iBAQ std03	iBAQ std04	iBAQ std05	iBAQ std06	iBAQ std07	iBAQ std08	iBAQ std09	iBAQ std10	iBAQ std11	LFQ intensity std00	LFQ intensity std01	LFQ intensity std02	LFQ intensity std03	LFQ intensity std04	LFQ intensity std05	LFQ intensity std06	LFQ intensity std07	LFQ intensity std08	LFQ intensity std09	LFQ intensity std10	LFQ intensity std11	MS/MS Count std00	MS/MS Count std01	MS/MS Count std02	MS/MS Count std03	MS/MS Count std04	MS/MS Count std05	MS/MS Count std06	MS/MS Count std07	MS/MS Count std08	MS/MS Count std09	MS/MS Count std10	MS/MS Count std11	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
C9JC03;A0A024R571;Q9H4M9	C9JC03;A0A024R571;Q9H4M9	1;1;1	1;1;1	1;1;1	EH domain-containing protein 1	EHD1	>tr|C9JC03|C9JC03_HUMAN EH domain-containing protein 1 (Fragment) OS=Homo sapiens GN=EHD1 PE=1 SV=1;>tr|A0A024R571|A0A024R571_HUMAN EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1;>sp|Q9H4M9|EHD1_HUMAN EH domain-containing protein 1 OS=Hom	3	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7.2	7.2	7.2	42.737	374	374;548;534	1	-2	0	0	0	0	7.2	0	0	0	0	0	0	0	209600	0	0	0	0	209600	0	0	0	0	0	0	0	9981	0	0	0	0	9981	0	0	0	0	0	0	0	0	0	0	0	51678	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	+			0	198	True	216	868	977	977		0		151
H7C402;H3BT36;A0A024RA52;P25787	H7C402;H3BT36;A0A024RA52;P25787	1;1;1;1	1;1;1;1	1;1;1;1	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2	>tr|H7C402|H7C402_HUMAN Proteasome subunit alpha type-2 (Fragment) OS=Homo sapiens GN=PSMA2 PE=1 SV=1;>tr|H3BT36|H3BT36_HUMAN Uncharacterized protein OS=Homo sapiens PE=1 SV=1;>tr|A0A024RA52|A0A024RA52_HUMAN Proteasome subunit alpha type OS=Homo sapiens GN	4	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	58.3	58.3	58.3	3.6322	36	36;48;234;234	0	6.5886	0	0	0	0	58.3	0	58.3	0	58.3	58.3	0	0	2918100	0	0	0	0	1105400	0	955260	0	661570	195870	0	0	1459100	0	0	0	0	552720	0	477630	0	330790	97935	0	0	0	0	0	0	0	0	0	0	0	125880	0	0	0	0	0	0	1	0	1	0	1	1	0	0	4				1	387	True	424	1702;1703;1704;1705	2138;2139;2140;2141	2139				
H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1	H0Y7V4;A0A075B6F3;Q96JB1-2;Q96JB1	1;1;1;1	1;1;1;1	1;1;1;1	Dynein heavy chain 8, axonemal	DNAH8	>tr|H0Y7V4|H0Y7V4_HUMAN Dynein heavy chain 8, axonemal OS=Homo sapiens GN=DNAH8 PE=1 SV=1;>tr|A0A075B6F3|A0A075B6F3_HUMAN Dynein heavy chain 8, axonemal OS=Homo sapiens GN=DNAH8 PE=1 SV=2;>sp|Q96JB1-2|DYH8_HUMAN Isoform 2 of Dynein heavy chain 8, axonemal 	4	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0.2	0.2	0.2	478.87	4188	4188;4707;4454;4490	0	14.926	0.2	0	0	0.2	0	0	0	0	0.2	0	0	0	1276400	531360	0	0	285290	0	0	0	0	459770	0	0	0	5408.5	2251.5	0	0	1208.8	0	0	0	0	1948.2	0	0	0	0	0	0	0	0	0	0	0	158370	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	3				2	174	True	188	763;764;765	840;841;842	842				
Q14174;Q4G0X0;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532	Q14174;Q4G0X0;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Dystrophin	DMD	>tr|Q14174|Q14174_HUMAN Duchenne muscular dystrophy protein (Fragment) OS=Homo sapiens GN=DMD PE=1 SV=1;>tr|Q4G0X0|Q4G0X0_HUMAN DMD protein OS=Homo sapiens GN=DMD PE=1 SV=1;>tr|A0A087WV90|A0A087WV90_HUMAN Dystrophin OS=Homo sapiens GN=DMD PE=1 SV=1;>tr|E9P	8	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18.4	18.4	18.4	14.524	125	125;772;3680;3681;3684;3685;3677;3685	1	-2	0	0	0	0	18.4	0	0	0	0	0	0	0	52101	0	0	0	0	52101	0	0	0	0	0	0	0	7443	0	0	0	0	7443	0	0	0	0	0	0	0	0	0	0	0	12846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			3	676	True	748	2837	3464	3464	0;1;2;151		48;49;50;56	
U3KPR7;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8;A0A0C4DGQ5;P04632	U3KPR7;U3KQE2;K7EIV0;A0A075B7C0;K7EKD8;A0A0C4DGQ5;P04632	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	Calpain small subunit 1	CAPNS1	>tr|U3KPR7|U3KPR7_HUMAN Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1;>tr|U3KQE2|U3KQE2_HUMAN Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=1 SV=1;>tr|K7EIV0|K7EIV0_HUMAN Calpain small subunit 1 (Fragment) OS=Homo	7	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	20	20	20	11.399	100	100;161;196;197;238;322;268	0	8.6677	0	0	0	0	20	0	20	0	20	0	0	0	809670	0	0	0	0	367960	0	305730	0	135990	0	0	0	134950	0	0	0	0	61326	0	50954	0	22664	0	0	0	0	0	0	0	0	0	0	0	46842	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3				4	586	True	645	2418;2419;2420	3006;3007;3008	3006				
A0A087WXD0;A0A087WVE6;A0A087WT55;Q9NPI6-2;Q9NPI6	A0A087WXD0;A0A087WVE6;A0A087WT55;Q9NPI6-2;Q9NPI6	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	mRNA-decapping enzyme 1A	DCP1A	>tr|A0A087WXD0|A0A087WXD0_HUMAN mRNA-decapping enzyme 1A OS=Homo sapiens GN=DCP1A PE=1 SV=1;>tr|A0A087WVE6|A0A087WVE6_HUMAN mRNA-decapping enzyme 1A (Fragment) OS=Homo sapiens GN=DCP1A PE=1 SV=1;>tr|A0A087WT55|A0A087WT55_HUMAN mRNA-decapping enzyme 1A (Fra	5	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	24.5	24.5	24.5	11.676	102	102;191;260;544;582	0.010152	6.1374	0	0	0	0	0	0	0	0	24.5	0	0	0	77772	0	0	0	0	0	0	0	0	77772	0	0	0	12962	0	0	0	0	0	0	0	0	12962	0	0	0	0	0	0	0	0	0	0	0	26789	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1				5	566	True	624	2316	2886	2886	3;4;5		71;74;83	
A0A087WTS8;A0A087WYC1;P34932	A0A087WTS8;A0A087WYC1;P34932	1;1;1	1;1;1	1;1;1	Heat shock 70 kDa protein 4	HSPA4	>tr|A0A087WTS8|A0A087WTS8_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=1;>tr|A0A087WYC1|A0A087WYC1_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=1;>sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens	3	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4.6	4.6	4.6	52.599	475	475;699;840	0	6.9846	0	0	0	0	0	0	4.6	0	0	4.6	0	0	1020400	0	0	0	0	0	0	781410	0	0	239030	0	0	32917	0	0	0	0	0	0	25207	0	0	7710.5	0	0	0	0	0	0	0	0	0	0	0	153610	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2				6	693	True	767	2894;2895	3522;3523	3522				
E5RGH3;E5RH24;E5RJB9;A0A087WTT1;E7EQV3;E7ERJ7;Q5JQF8;P11940-2;Q9H361;P11940	E5RGH3;E5RH24;E5RJB9;A0A087WTT1;E7EQV3;E7ERJ7;Q5JQF8;P11940-2;Q9H361;P11940	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1	Polyadenylate-binding protein 1-like 2;Polyadenylate-binding protein 1;Polyadenylate-binding protein 3	PABPC1;PABPC1L2A;PABPC3	>tr|E5RGH3|E5RGH3_HUMAN Polyadenylate-binding protein 1 (Fragment) OS=Homo sapiens GN=PABPC1 PE=1 SV=1;>tr|E5RH24|E5RH24_HUMAN Polyadenylate-binding protein 1 (Fragment) OS=Homo sapiens GN=PABPC1 PE=1 SV=1;>tr|E5RJB9|E5RJB9_HUMAN Polyadenylate-binding prot	10	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	13	13	12.203	108	108;118;129;522;591;604;200;547;631;636	1	-2	0	0	0	0	13	0	0	0	0	0	0	0	88153	0	0	0	0	88153	0	0	0	0	0	0	0	14692	0	0	0	0	14692	0	0	0	0	0	0	0	0	0	0	0	21735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			7	499	True	554	2131	2667	2667		1		40
A0A087WTY5	A0A087WTY5	1	1	1			>tr|A0A087WTY5|A0A087WTY5_HUMAN Collagen alpha-1(IV) chain (Fragment) OS=Homo sapiens GN=COL4A1 PE=4 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	6.3	6.3	6.3	21.227	223	223	1	-2	0	0	0	0	0	0	0	0	6.3	0	0	6.3	4978600	0	0	0	0	0	0	0	0	249320	0	0	4729300	711230	0	0	0	0	0	0	0	0	35617	0	0	675610	0	0	0	0	0	0	0	0	0	0	0	4210800	0	0	0	0	0	0	0	0	1	0	0	1	2	+			8	443	True	486;487	1892;1893	2367;2368	2367	152;153;154	2	2;8;13	1
A0A1B0GXI6;A0A087WU65;Q9NRW7-2;Q9NRW7	A0A1B0GXI6;A0A087WU65;Q9NRW7-2;Q9NRW7	1;1;1;1	1;1;1;1	1;1;1;1	Vacuolar protein sorting-associated protein 45	VPS45	>tr|A0A1B0GXI6|A0A1B0GXI6_HUMAN Vacuolar protein sorting-associated protein 45 (Fragment) OS=Homo sapiens GN=VPS45 PE=1 SV=1;>tr|A0A087WU65|A0A087WU65_HUMAN Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=1 SV=1;>sp|Q9NRW7-2|VPS4	4	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.8	3.8	3.8	36.524	315	315;447;538;570	1	-2	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	+			9	162	True	176	723	798	798	155		234	
